Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
1,freeCodeCamp/freeCodeCamp,362276,8.18,19281,0,0,TypeScript,0.99
2,EbookFoundation/free-programming-books,269266,9.39,5590,0,0,Unkutcnown,0.97
3,996icu/996.ICU,265192,3.93,1063,0,0,Unkutcnown,0
4,jwasham/coding-interview-university,250060,6.73,359,0,0,Unkutcnown,0.89
5,sindresorhus/awesome,241028,8.64,607,0,0,Unkutcnown,0.93
6,kamranahmedse/developer-roadmap,231493,5.96,1454,1,0,Astro,0.84
7,public-apis/public-apis,229616,6.95,1871,0,0,Python,0.94
8,donnemartin/system-design-primer,212707,6.01,195,0,0,Python,0.29
9,facebook/react,203090,9.77,8821,99,0,JavaScript,0.92
10,vuejs/vue,202563,9.59,1118,245,0,TypeScript,0.96
11,codecrafters-io/build-your-own-x,191639,4.81,112,0,0,Unkutcnown,0.7
12,tensorflow/tensorflow,171710,7.31,15748,185,0,C++,0.94
13,getify/You-Dont-Know-JS,165379,9.29,356,0,0,Unkutcnown,0.91
14,trekhleb/javascript-algorithms,163997,4.94,280,0,0,JavaScript,0.65
15,twbs/bootstrap,162115,11.59,8176,83,0,JavaScript,0.99
16,CyC2018/CS-Notes,162012,5.04,375,0,0,Unkutcnown,0.79
17,vinta/awesome-python,158548,8.68,530,0,0,Python,0.96
18,ohmyzsh/ohmyzsh,155926,13.51,2841,0,0,Shell,0.95
19,TheAlgorithms/Python,154378,6.62,2153,0,0,Python,0.99
20,flutter/flutter,150749,7.99,29813,0,0,Dart,0.86
21,torvalds/linux,147125,11.49,9,0,0,C,0
22,github/gitignore,144890,12.31,1523,0,0,Unkutcnown,0
23,microsoft/vscode,143135,7.49,15462,92,0,TypeScript,0.96
24,ossu/computer-science,135754,8.83,236,0,0,Unkutcnown,0.98
25,airbnb/javascript,131874,10.33,792,0,0,JavaScript,0.92
26,Snailclimb/JavaGuide,131416,4.82,773,0,0,Java,0.92
27,jlevy/the-art-of-command-line,131360,7.78,312,0,0,Unkutcnown,0.56
28,jackfrued/Python-100-Days,131332,5.0,12,0,0,Python,0.17
29,awesome-selfhosted/awesome-selfhosted,121699,7.75,2101,0,0,Makefile,0.93
30,ytdl-org/youtube-dl,118217,12.33,1601,341,0,Python,0.85
31,labuladong/fucking-algorithm,114285,3.03,210,1,0,Markdown,0.85
32,golang/go,108973,8.53,1,0,0,Go,0.86
33,30-seconds/30-seconds-of-code,108197,5.25,754,4,0,JavaScript,1.0
34,facebook/react-native,107940,8.14,659,241,0,JavaScript,0.92
35,electron/electron,106124,9.88,16557,1000,0,C++,0.95
36,d3/d3,104518,12.42,439,190,0,JavaScript,1.0
37,vercel/next.js,101675,6.4,11624,1000,0,JavaScript,0.92
38,justjavac/free-programming-books-zh_CN,100174,9.32,280,3,0,Unkutcnown,0
39,axios/axios,99005,8.53,728,57,0,JavaScript,0.92
40,facebook/create-react-app,98997,6.62,1942,83,0,JavaScript,0.81
41,avelino/awesome-go,97294,8.65,2913,0,0,Go,0.95
42,kubernetes/kubernetes,96286,8.73,54216,586,0,Go,0.96
43,nodejs/node,93661,8.26,5761,333,0,JavaScript,0.92
44,practical-tutorials/project-based-learning,93079,5.88,179,0,0,Unkutcnown,0.64
45,trimstray/the-book-of-secret-knowledge,91086,4.69,122,0,0,Unkutcnown,0
46,mrdoob/three.js,89460,12.94,10534,142,0,JavaScript,0.97
47,microsoft/TypeScript,88908,8.7,12680,168,0,TypeScript,0.84
48,denoland/deno,88211,4.79,7801,215,0,Rust,0.85
49,microsoft/terminal,87778,5.55,3051,89,0,C++,0.86
50,microsoft/PowerToys,87256,3.83,3809,76,0,C#,0.78
51,yangshun/tech-interview-handbook,86993,6.65,429,0,0,TypeScript,0.78
52,goldbergyoni/nodebestpractices,86798,5.46,745,0,0,JavaScript,0.93
53,angular/angular,86669,8.45,3322,249,0,TypeScript,0.95
54,mui/material-ui,84917,8.53,15051,397,0,JavaScript,0.93
55,ant-design/ant-design,84607,7.85,10579,563,0,TypeScript,0.97
56,huggingface/transformers,83109,4.34,8716,108,0,Python,0.96
57,puppeteer/puppeteer,82114,5.81,2995,176,0,TypeScript,0.96
58,PanJiaChen/vue-element-admin,80969,5.87,313,49,0,Vue,0.67
59,ryanmcdermott/clean-code-javascript,80162,6.26,149,0,0,JavaScript,0.6
60,iluwatar/java-design-patterns,80070,8.56,1068,0,0,Java,0.78
61,rust-lang/rust,78386,12.71,46047,108,0,Rust,0.81
62,Genymobile/scrcpy,77351,5.27,64,29,0,C,0.64
63,animate-css/animate.css,77175,11.38,313,22,0,CSS,0.97
64,storybookjs/storybook,77081,6.95,7876,1000,0,TypeScript,0.81
65,nvbn/thefuck,76024,7.9,478,17,0,Python,0.68
66,tensorflow/models,75298,7.07,2293,29,0,Jupyter Notebook,0.85
67,gothinkster/realworld,72770,7.01,313,0,0,TypeScript,0.9
68,laravel/laravel,72655,11.73,1491,134,0,PHP,0
69,MisterBooo/LeetCodeAnimation,72414,4.23,63,0,0,Java,0.72
70,FortAwesome/Font-Awesome,70979,11.03,196,50,0,JavaScript,0.72
71,papers-we-love/papers-we-love,70068,9.21,414,0,0,Shell,0.91
72,mtdvio/every-programmer-should-know,69646,5.52,98,0,0,Unkutcnown,0.43
73,django/django,69047,10.84,7992,0,0,Python,0
74,tonsky/FiraCode,68955,8.3,125,29,0,Clojure,0.72
75,doocs/advanced-java,68825,4.4,75,1,0,Java,0.99
76,bitcoin/bitcoin,68447,12.2,12696,40,0,C++,0.95
77,vuejs/awesome-vue,67887,7.36,3384,0,0,Unkutcnown,0.86
78,microsoft/Web-Dev-For-Beginners,67371,2.3,438,0,0,JavaScript,0.96
79,ripienaar/free-for-dev,67292,7.95,2120,0,0,HTML,0
80,gin-gonic/gin,66852,8.71,923,24,0,Go,0.75
81,opencv/opencv,66849,10.61,11027,59,0,C++,0.75
82,sveltejs/svelte,66009,6.28,2555,0,0,TypeScript,0.85
83,spring-projects/spring-boot,65848,10.36,41,162,0,Java,0.98
84,typicode/json-server,65774,9.26,108,12,0,JavaScript,0.45
85,gohugoio/hugo,65660,9.66,1903,215,0,Go,0.9
86,tailwindlabs/tailwindcss,65593,5.4,1680,209,0,HTML,1.0
87,521xueweihan/HelloGitHub,65502,6.82,14,28,0,Python,0.97
88,moby/moby,65236,10.11,18086,120,0,Go,0.82
89,nvm-sh/nvm,65114,12.88,674,62,0,Shell,0.83
90,fatedier/frp,64815,7.19,433,77,0,Go,0.96
91,thedaviddias/Front-End-Checklist,64316,5.37,172,1,0,Unkutcnown,0.96
92,macrozheng/mall,63842,4.91,0,2,0,Java,0.94
93,pytorch/pytorch,63266,6.55,5349,43,0,C++,0.67
94,hakimel/reveal.js,63225,11.73,373,39,0,JavaScript,0.71
95,neovim/neovim,62984,9.08,9190,31,0,Vim Script,0.85
96,elastic/elasticsearch,62891,13.06,53818,108,0,Java,0.89
97,florinpop17/app-ideas,62796,4.01,149,0,0,Unkutcnown,0.31
98,webpack/webpack,62585,10.97,4198,382,0,JavaScript,0.98
99,netdata/netdata,62160,9.7,6345,61,0,C,0.97
100,pallets/flask,62059,12.9,1445,24,0,Python,1.0
101,Hack-with-Github/Awesome-Hacking,62015,6.92,27,0,0,Unkutcnown,0
102,apple/swift,61951,7.35,41094,46,0,C++,0.57
103,expressjs/express,60086,13.68,268,147,0,JavaScript,0.97
104,chartjs/Chart.js,59953,9.95,2858,101,0,JavaScript,0.97
105,GrowingGit/GitHub-Chinese-Top-Charts,59778,3.49,0,0,0,Java,0.59
106,tauri-apps/tauri,59700,3.63,2869,500,0,Rust,0.85
107,resume/resume.github.com,59431,12.06,84,0,0,JavaScript,0.55
108,kdn251/interviews,59295,6.04,42,0,0,Java,0.39
109,reduxjs/redux,59289,7.76,1583,70,0,TypeScript,0.98
110,angular/angular.js,59248,13.15,789,0,0,JavaScript,0.96
111,coder/code-server,59220,4.01,1257,100,0,TypeScript,0.92
112,atom/atom,59168,11.11,3937,538,0,JavaScript,0.94
113,redis/redis,58720,13.94,3189,46,0,C,0.69
114,home-assistant/core,58547,9.45,44077,1000,0,Python,0.94
115,godotengine/godot,58448,9.15,26356,42,0,C++,0.82
116,protocolbuffers/protobuf,58349,8.51,4185,121,0,C++,0.88
117,jaywcjlove/awesome-mac,58226,6.62,701,6,0,JavaScript,0.73
118,adam-p/markdown-here,58207,10.8,20,11,0,JavaScript,0.51
119,josephmisiti/awesome-machine-learning,58013,8.63,776,0,0,Python,1.0
120,socketio/socket.io,57718,12.97,415,55,0,TypeScript,0.97
121,xingshaocheng/architect-awesome,57657,4.9,49,0,0,Unkutcnown,0.3
122,keras-team/keras,57444,7.93,2759,46,0,Python,0.98
123,jquery/jquery,57218,13.91,595,5,0,JavaScript,0.97
124,h5bp/Front-end-Developer-Interview-Questions,56582,11.06,439,0,0,Nunjucks,0.97
125,ansible/ansible,56448,10.98,36336,0,0,Python,0.98
126,kelseyhightower/nocode,55988,5.06,1,1,0,Dockerfile,0.14
127,shadowsocks/shadowsocks-windows,55894,10.12,278,55,0,C#,0.96
128,lodash/lodash,55742,10.9,573,2,0,JavaScript,0.92
129,leonardomso/33-js-concepts,55246,4.49,158,0,0,JavaScript,0.71
130,tiangolo/fastapi,55046,4.23,1135,144,0,Python,0.99
131,mermaid-js/mermaid,54806,8.33,1512,101,0,JavaScript,0.61
132,nestjs/nest,54686,6.07,4798,81,0,TypeScript,0.99
133,chrislgarry/Apollo-11,54491,8.91,320,0,0,Assembly,0.84
134,apache/echarts,54348,9.91,1152,107,0,TypeScript,0.87
135,gatsbyjs/gatsby,54189,7.78,17586,129,0,JavaScript,1.0
136,grafana/grafana,54162,9.22,28616,340,0,TypeScript,0.9
137,enaqx/awesome-react,54138,8.57,765,0,0,Unkutcnown,0.78
138,h5bp/html5-boilerplate,54062,13.1,662,32,0,JavaScript,0.99
139,DopplerHQ/awesome-interview-questions,53793,7.26,175,0,0,Unkutcnown,0.91
140,vitejs/vite,53425,2.86,3027,264,0,TypeScript,0.91
141,scikit-learn/scikit-learn,53153,12.54,10285,32,0,Python,0.84
142,awesomedata/awesome-public-datasets,53145,8.28,188,0,0,Unkutcnown,0.43
143,ElemeFE/element,53118,6.49,3221,144,0,Vue,0.87
144,lydiahallie/javascript-questions,52683,3.72,304,0,0,Unkutcnown,0.99
145,anuraghazra/github-readme-stats,52448,2.64,485,0,0,JavaScript,0.9
146,rails/rails,52400,14.89,20960,91,0,Ruby,0.98
147,Developer-Y/cs-video-courses,52366,6.36,125,0,0,Unkutcnown,0.89
148,strapi/strapi,52160,7.42,5860,266,0,JavaScript,0.96
149,Anduin2017/HowToCook,51438,3.0,458,1,0,HTML,0.43
150,python/cpython,50937,6.05,31974,0,0,Python,0.89
151,spring-projects/spring-framework,50904,12.23,751,248,0,Java,0.95
152,sdmg15/Best-websites-a-programmer-should-visit,50866,5.99,372,0,0,Unkutcnown,0.65
153,apache/superset,50764,7.61,10296,116,0,TypeScript,0.88
154,azl397985856/leetcode,50601,4.92,252,40,0,JavaScript,0.98
155,TheAlgorithms/Java,50509,6.62,971,0,0,Java,0.99
156,Semantic-Org/Semantic-UI,50445,9.89,356,154,0,JavaScript,0.85
157,hoppscotch/hoppscotch,50190,3.53,1030,16,0,Vue,0.9
