Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
1,freeCodeCamp/freeCodeCamp,362599,8.2,19316,0,0,TypeScript,0.99
2,EbookFoundation/free-programming-books,269821,9.4,5595,0,0,Unkutcnown,0.97
3,996icu/996.ICU,265244,3.95,1063,0,0,Unkutcnown,0
4,jwasham/coding-interview-university,250636,6.75,360,0,0,Unkutcnown,0.89
5,sindresorhus/awesome,241878,8.65,607,0,0,Unkutcnown,0.93
6,kamranahmedse/developer-roadmap,232083,5.98,1456,1,0,Astro,0.83
7,public-apis/public-apis,230132,6.96,1871,0,0,Python,0.94
8,donnemartin/system-design-primer,213337,6.02,195,0,0,Python,0.29
9,facebook/react,203448,9.79,8857,99,0,JavaScript,0.92
10,vuejs/vue,202641,9.6,1118,245,0,TypeScript,0.96
11,codecrafters-io/build-your-own-x,192259,4.83,113,0,0,Unkutcnown,0.7
12,tensorflow/tensorflow,171865,7.33,15779,186,0,C++,0.94
13,getify/You-Dont-Know-JS,165562,9.3,356,0,0,Unkutcnown,0.91
14,trekhleb/javascript-algorithms,164328,4.95,280,0,0,JavaScript,0.66
15,twbs/bootstrap,162231,11.61,8192,83,0,JavaScript,0.99
16,CyC2018/CS-Notes,162203,5.06,375,0,0,Unkutcnown,0.79
17,vinta/awesome-python,159148,8.69,530,0,0,Python,0.96
18,ohmyzsh/ohmyzsh,156134,13.52,2847,0,0,Shell,0.95
19,TheAlgorithms/Python,154839,6.64,2158,0,0,Python,0.99
20,flutter/flutter,150963,8.0,29894,0,0,Dart,0.86
21,torvalds/linux,147504,11.5,9,0,0,C,0
22,github/gitignore,145115,12.33,1523,0,0,Unkutcnown,0
23,microsoft/vscode,143358,7.51,15609,92,0,TypeScript,0.96
24,ossu/computer-science,136072,8.84,236,0,0,Unkutcnown,0.98
25,airbnb/javascript,132047,10.34,792,0,0,JavaScript,0.92
26,jlevy/the-art-of-command-line,132028,7.8,313,0,0,Unkutcnown,0.56
27,Snailclimb/JavaGuide,131624,4.83,777,0,0,Java,0.92
28,jackfrued/Python-100-Days,131501,5.02,12,0,0,Python,0.17
29,awesome-selfhosted/awesome-selfhosted,122933,7.76,2104,0,0,Makefile,0.93
30,ytdl-org/youtube-dl,118491,12.35,1602,341,0,Python,0.85
31,labuladong/fucking-algorithm,114439,3.04,210,1,0,Markdown,0.86
32,golang/go,109130,8.55,1,0,0,Go,0.86
33,30-seconds/30-seconds-of-code,108356,5.27,754,4,0,JavaScript,1.0
34,facebook/react-native,108049,8.16,660,241,0,JavaScript,0.92
35,electron/electron,106209,9.9,16596,1000,0,C++,0.95
36,d3/d3,104567,12.44,439,190,0,JavaScript,1.0
37,vercel/next.js,101960,6.42,11691,1000,0,JavaScript,0.92
38,justjavac/free-programming-books-zh_CN,100287,9.34,280,3,0,Unkutcnown,0
39,axios/axios,99103,8.55,728,57,0,JavaScript,0.92
40,facebook/create-react-app,99060,6.64,1942,83,0,JavaScript,0.81
41,mrdoob/three.js,89630,12.96,10554,142,0,JavaScript,0.97
42,microsoft/TypeScript,89076,8.72,12716,168,0,TypeScript,0.84
43,denoland/deno,88326,4.81,7839,215,0,Rust,0.85
44,microsoft/terminal,87866,5.57,3053,89,0,C++,0.86
45,microsoft/PowerToys,87719,3.85,3816,77,0,C#,0.78
46,yangshun/tech-interview-handbook,87141,6.67,429,0,0,TypeScript,0.78
47,goldbergyoni/nodebestpractices,86909,5.47,745,0,0,JavaScript,0.93
48,angular/angular,86783,8.47,3322,249,0,TypeScript,0.95
49,mui/material-ui,85004,8.55,15084,398,0,JavaScript,0.93
50,ant-design/ant-design,84706,7.87,10609,564,0,TypeScript,0.96
51,huggingface/transformers,83938,4.35,8788,108,0,Python,0.96
52,puppeteer/puppeteer,82166,5.83,3014,180,0,TypeScript,0.96
53,PanJiaChen/vue-element-admin,81091,5.89,313,49,0,Vue,0.66
54,ryanmcdermott/clean-code-javascript,80303,6.28,149,0,0,JavaScript,0.6
55,iluwatar/java-design-patterns,80146,8.57,1069,0,0,Java,0.78
56,rust-lang/rust,78603,12.72,46152,108,0,Rust,0.81
57,Genymobile/scrcpy,77576,5.29,64,29,0,C,0.64
58,animate-css/animate.css,77236,11.4,313,22,0,CSS,0.97
59,storybookjs/storybook,77205,6.97,7914,1000,0,TypeScript,0.81
60,nvbn/thefuck,76099,7.91,478,17,0,Python,0.68
61,rust-lang/rust,78603,12.72,46152,108,0,Rust,0.81
62,Genymobile/scrcpy,77576,5.29,64,29,0,C,0.64
63,animate-css/animate.css,77236,11.4,313,22,0,CSS,0.97
64,storybookjs/storybook,77205,6.97,7914,1000,0,TypeScript,0.81
65,nvbn/thefuck,76099,7.91,478,17,0,Python,0.68
66,tensorflow/models,75340,7.08,2293,29,0,Jupyter Notebook,0.85
67,gothinkster/realworld,72829,7.03,323,0,0,TypeScript,0.9
68,laravel/laravel,72720,11.75,1491,135,0,PHP,0
69,MisterBooo/LeetCodeAnimation,72458,4.25,63,0,0,Java,0.72
70,FortAwesome/Font-Awesome,71019,11.05,196,50,0,JavaScript,0.72
71,papers-we-love/papers-we-love,70230,9.22,415,0,0,Shell,0.9
72,mtdvio/every-programmer-should-know,69792,5.53,98,0,0,Unkutcnown,0.43
73,django/django,69140,10.86,8007,0,0,Python,0
74,tonsky/FiraCode,69035,8.32,125,29,0,Clojure,0.72
75,doocs/advanced-java,68920,4.42,75,1,0,Java,0.99
76,bitcoin/bitcoin,68519,12.21,12708,40,0,C++,0.95
77,vuejs/awesome-vue,67937,7.38,3386,0,0,Unkutcnown,0.86
78,microsoft/Web-Dev-For-Beginners,67521,2.32,439,0,0,JavaScript,0.96
79,ripienaar/free-for-dev,67408,7.97,2126,0,0,HTML,0
80,opencv/opencv,67000,10.63,11028,59,0,C++,0.75
81,gin-gonic/gin,66990,8.72,923,24,0,Go,0.75
82,sveltejs/svelte,66119,6.29,2561,0,0,TypeScript,0.84
83,spring-projects/spring-boot,65964,10.38,41,163,0,Java,0.98
84,typicode/json-server,65846,9.27,108,12,0,JavaScript,0.45
85,gohugoio/hugo,65770,9.67,1913,217,0,Go,0.9
86,tailwindlabs/tailwindcss,65752,5.42,1682,209,0,HTML,1.0
87,521xueweihan/HelloGitHub,65741,6.84,14,28,0,Python,0.96
88,moby/moby,65329,10.13,18104,120,0,Go,0.82
89,nvm-sh/nvm,65292,12.89,673,62,0,Shell,0.83
90,fatedier/frp,65009,7.21,434,77,0,Go,0.96
91,thedaviddias/Front-End-Checklist,64373,5.39,172,1,0,Unkutcnown,0.96
92,macrozheng/mall,63971,4.92,0,2,0,Java,0.94
93,pytorch/pytorch,63451,6.56,5357,43,0,C++,0.67
94,hakimel/reveal.js,63265,11.75,373,39,0,JavaScript,0.71
95,neovim/neovim,63163,9.1,9261,31,0,Vim Script,0.85
96,elastic/elasticsearch,62945,13.07,53904,108,0,Java,0.89
97,florinpop17/app-ideas,62882,4.03,149,0,0,Unkutcnown,0.31
98,webpack/webpack,62635,10.99,4203,382,0,JavaScript,0.98
99,iptv-org/iptv,62475,4.31,5161,0,0,JavaScript,0.84
100,Hack-with-Github/Awesome-Hacking,62268,6.93,27,0,0,Unkutcnown,0
101,netdata/netdata,62206,9.72,6364,61,0,C,0.97
102,pallets/flask,62122,12.92,1445,24,0,Python,1.0
